filter by country,total number of test takers,Nationalities,number of  tests,Participating institutions,,filter by type of exam,total number of test takers,Nationalities,number of  tests,Participating institutions,,filter by year,total number of test takers,Nationalities,number of  tests,Participating institutions,,filter by nationality ,total number of test takers,Nationalities,number of  tests,Participating institutions
غامبيا,102, -, -, -,,,,,,,,,,,,,,غانا,66,,,
غانا,66, -, -, -,,,,,,,,,,,,,,غينيا,33,,,
غينيا,33, -, -, -,,,,,,,,,,,,,,غينيا بيساو,16,,,
غينيا بيساو,16, -, -, -,,,,,,,,,,,,,,فرنسا,28,,,
فرنسا,28, -, -, -,,,,,,,,,,,,,,فيتنام,2,,,
فيتنام,2, -, -, -,,,,,,,,,,,,,,قرغيزستان,42,,,
قرغيزستان,42, -, -, -,,,,,,,,,,,,,,كازاخستان,54,,,
كازاخستان,54, -, -, -,,,,,,,,,,,,,,كمبوديا,19,,,
كمبوديا,19, -, -, -,,,,,,,,,,,,,,كندا,5,,,
كندا,5, -, -, -,,,,,,,,,,,,,,كوريا الجنوبية,13,,,
كوريا الجنوبية,13, -, -, -,,,,,,,,,,,,,,كولمبيا,4,,,
كولمبيا,4, -, -, -,,,,,,,,,,,,,,كينيا,9,,,
كينيا,9, -, -, -,,,,,,,,,,,,,,لاوس,1,,,
لاوس,1, -, -, -,,,,,,,,,,,,,,ليبيريا,7,,,
ليبيريا,7, -, -, -,,,,,,,,,,,,,,مالاوي,1,,,
مالاوي,1, -, -, -,,,,,,,,,,,,,,مالي,69,,,
مالي,69, -, -, -,,,,,,,,,,,,,,ماليزيا,169,,,
ماليزيا,169, -, -, -,,,,,,,,,,,,,,مدغشقر,8,,,
مدغشقر,8, -, -, -,,,,,,,,,,,,,,مقدونيا,4,,,
مقدونيا,4, -, -, -,,,,,,,,,,,,,,موريشيوس,4,,,
موريشيوس,4, -, -, -,,,,,,,,,,,,,,موزمبيق,8,,,
موزمبيق,8, -, -, -,,,,,,,,,,,,,,مينمار,70,,,
مينمار,70, -, -, -,,,,,,,,,,,,,,نيجيريا,210,,,
نيجيريا,210, -, -, -,,,,,,,,,,,,,,نيوزيلندا,2,,,
نيوزيلندا,2, -, -, -,,,,,,,,,,,,,,هنغاريا,2,,,
هنغاريا,2, -, -, -,,,,,,,,,,,,,,هولندا,5,,,
هولندا,5, -, -, -,,,,,,,,,,,,,,,,,,
كل الدول,26283,(+102),128,75,,,,,,,,,,,,,,,,,,
